lon,lat,mean_skt,min_skt,mean_wind,max_wind
2.0,-4.0,25.878046,21.684479,5.1762314,8.663419
2.0,-3.0,25.97576,21.77774,4.994926,8.785331
2.0,-2.0,26.175701,21.646759,4.867403,8.527566
2.0,-1.0,26.53452,21.636383,4.7807975,8.7223215
2.0,0.0,27.07332,22.36908,4.721104,8.663942
2.0,1.0,27.559633,24.208069,4.611801,8.712101
2.0,2.0,27.846628,24.597443,4.442041,8.8758545
2.0,3.0,27.92247,23.966858,4.3001137,9.124406
2.0,4.0,27.839048,23.394653,4.2864976,8.865343
2.0,5.0,27.793001,23.190308,4.528798,9.788286
2.0,6.0,27.547985,22.834137,4.848927,8.995267
